Age,Household Income,Household Occupancy Type,Eating Out Frequency (Monthly),Preferred Meal Time,Ordering Style,Average Spend per Visit (GBP),Loyalty Program Usage,Total Visits in Last 6 Months,Dining Motivation,Food Values,Openness to New Cuisines,Customer Review
46,High,Couple,9,Breakfast,Takeout,44.96,Yes,37,Taste,Healthy,Medium,Felt like I was eating at a friend's house. So comforting.
21,High,Family with Kids,11,Late-night,Takeout,13.06,No,2,Tradition,Healthy,High,Tried something new and absolutely loved it.
39,Low,Couple,6,Lunch,Delivery,18.6,No,5,Tradition,Comfort Food,Medium,Great experience! Will definitely be coming back soon.
46,Low,Couple,4,Lunch,Dine-in,30.19,Yes,0,Convenience,Comfort Food,High,"The wait was a bit long, but the food made up for it."
55,High,Single,8,Late-night,Takeout,32.11,Yes,15,Convenience,Locally Sourced,High,The service was friendly and the food felt homemade.
30,Medium,Couple,8,Lunch,Delivery,37.78,No,0,Tradition,Experimental,Low,I loved the cozy atmosphere and the fresh ingredients.
36,Medium,Multigenerational,3,Lunch,Dine-in,8.94,No,31,Social Aspect,Healthy,Low,A perfect spot for a quiet meal and good conversation.
56,Low,Multigenerational,6,Breakfast,Delivery,53.4,Yes,2,Tradition,Locally Sourced,Low,"The wait was a bit long, but the food made up for it."
32,Medium,Single,2,Breakfast,Dine-in,28.36,Yes,14,Tradition,Healthy,High,A perfect spot for a quiet meal and good conversation.
24,Low,Couple,12,Late-night,Takeout,12.63,Yes,2,Convenience,Comfort Food,Medium,"The wait was a bit long, but the food made up for it."
57,Low,Multigenerational,6,Dinner,Delivery,9.41,Yes,36,Social Aspect,Experimental,High,"The wait was a bit long, but the food made up for it."
61,Medium,Family with Kids,11,Late-night,Takeout,24.34,No,7,Taste,Comfort Food,High,Felt like I was eating at a friend's house. So comforting.
70,Medium,Single,11,Lunch,Dine-in,27.74,Yes,14,Convenience,Healthy,High,"Not my usual spot, but I was pleasantly surprised."
51,High,Couple,7,Lunch,Delivery,37.56,Yes,7,Social Aspect,Locally Sourced,Low,I loved the cozy atmosphere and the fresh ingredients.
38,High,Multigenerational,12,Lunch,Dine-in,50.2,No,17,Convenience,Experimental,High,The portions were generous and the flavors authentic.
26,High,Single,11,Lunch,Dine-in,56.76,No,13,Taste,Experimental,High,A perfect spot for a quiet meal and good conversation.
52,Medium,Couple,5,Dinner,Dine-in,53.55,No,9,Taste,Locally Sourced,High,The portions were generous and the flavors authentic.
56,Low,Single,11,Breakfast,Dine-in,40.37,Yes,8,Tradition,Healthy,Low,The service was friendly and the food felt homemade.
66,Low,Family with Kids,7,Dinner,Dine-in,57.66,No,1,Taste,Healthy,Low,I loved the cozy atmosphere and the fresh ingredients.
32,Medium,Single,4,Dinner,Dine-in,28.69,Yes,10,Tradition,Experimental,Medium,"The wait was a bit long, but the food made up for it."
44,High,Single,1,Lunch,Dine-in,52.85,Yes,7,Taste,Experimental,Medium,The portions were generous and the flavors authentic.
61,Medium,Multigenerational,11,Lunch,Takeout,32.98,Yes,12,Convenience,Experimental,Low,"The wait was a bit long, but the food made up for it."
68,Low,Couple,7,Dinner,Takeout,43.5,No,12,Social Aspect,Experimental,High,Felt like I was eating at a friend's house. So comforting.
48,Medium,Family with Kids,5,Dinner,Dine-in,39.44,Yes,26,Taste,Healthy,High,A perfect spot for a quiet meal and good conversation.
29,Medium,Single,10,Late-night,Dine-in,57.9,No,18,Tradition,Experimental,Medium,I loved the cozy atmosphere and the fresh ingredients.
46,Low,Single,10,Dinner,Takeout,53.26,No,40,Taste,Healthy,Low,A perfect spot for a quiet meal and good conversation.
19,High,Multigenerational,1,Lunch,Dine-in,10.0,Yes,30,Convenience,Comfort Food,High,Great experience! Will definitely be coming back soon.
31,Medium,Couple,9,Lunch,Takeout,21.38,Yes,37,Convenience,Experimental,Low,Tried something new and absolutely loved it.
55,High,Multigenerational,8,Dinner,Delivery,28.58,No,14,Taste,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
26,Medium,Couple,2,Dinner,Delivery,13.55,No,5,Social Aspect,Experimental,High,The portions were generous and the flavors authentic.
49,High,Single,1,Dinner,Delivery,7.4,No,22,Social Aspect,Locally Sourced,High,"Affordable, delicious, and a true neighborhood gem."
44,Low,Multigenerational,6,Breakfast,Takeout,18.05,Yes,4,Tradition,Healthy,Low,Felt like I was eating at a friend's house. So comforting.
35,Medium,Family with Kids,0,Breakfast,Dine-in,43.85,Yes,17,Taste,Locally Sourced,High,"Not my usual spot, but I was pleasantly surprised."
38,Medium,Family with Kids,2,Breakfast,Takeout,20.68,No,8,Tradition,Healthy,Medium,"Affordable, delicious, and a true neighborhood gem."
67,High,Couple,3,Dinner,Delivery,31.81,No,34,Social Aspect,Experimental,Medium,Tried something new and absolutely loved it.
31,High,Single,1,Breakfast,Delivery,15.69,Yes,8,Social Aspect,Locally Sourced,Low,"The wait was a bit long, but the food made up for it."
48,Medium,Family with Kids,0,Lunch,Delivery,34.7,Yes,16,Social Aspect,Healthy,Low,Great experience! Will definitely be coming back soon.
54,Medium,Family with Kids,2,Dinner,Takeout,18.38,No,18,Social Aspect,Experimental,Low,Great experience! Will definitely be coming back soon.
57,High,Single,0,Breakfast,Delivery,16.18,Yes,36,Convenience,Locally Sourced,High,Felt like I was eating at a friend's house. So comforting.
61,High,Multigenerational,5,Late-night,Dine-in,56.12,Yes,3,Convenience,Experimental,Low,"The wait was a bit long, but the food made up for it."
55,Low,Multigenerational,9,Late-night,Dine-in,16.94,Yes,9,Tradition,Experimental,Low,Felt like I was eating at a friend's house. So comforting.
43,Low,Couple,8,Dinner,Dine-in,26.96,Yes,39,Convenience,Healthy,Medium,Felt like I was eating at a friend's house. So comforting.
24,High,Single,5,Dinner,Takeout,9.34,Yes,30,Social Aspect,Locally Sourced,Medium,Tried something new and absolutely loved it.
56,High,Single,10,Dinner,Dine-in,30.37,No,27,Taste,Comfort Food,High,The service was friendly and the food felt homemade.
58,Low,Single,3,Lunch,Delivery,17.83,Yes,5,Social Aspect,Comfort Food,Medium,Tried something new and absolutely loved it.
28,Low,Family with Kids,13,Breakfast,Takeout,27.25,No,1,Convenience,Comfort Food,Medium,A perfect spot for a quiet meal and good conversation.
39,Low,Family with Kids,9,Lunch,Dine-in,6.49,No,31,Social Aspect,Experimental,High,Tried something new and absolutely loved it.
37,High,Single,10,Late-night,Takeout,8.75,No,32,Taste,Locally Sourced,Low,Felt like I was eating at a friend's house. So comforting.
50,High,Couple,13,Breakfast,Takeout,19.07,Yes,29,Convenience,Healthy,High,Felt like I was eating at a friend's house. So comforting.
46,Medium,Family with Kids,13,Breakfast,Delivery,22.54,No,38,Tradition,Experimental,Medium,The service was friendly and the food felt homemade.
22,High,Family with Kids,6,Lunch,Dine-in,12.69,Yes,10,Taste,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
45,Medium,Single,7,Dinner,Delivery,6.88,Yes,22,Tradition,Locally Sourced,Low,Great experience! Will definitely be coming back soon.
59,High,Couple,2,Late-night,Dine-in,10.08,Yes,11,Convenience,Experimental,Medium,I loved the cozy atmosphere and the fresh ingredients.
30,Low,Family with Kids,6,Lunch,Takeout,11.44,No,15,Convenience,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
57,High,Couple,10,Late-night,Takeout,58.33,No,28,Tradition,Healthy,Low,Great experience! Will definitely be coming back soon.
36,Low,Single,9,Breakfast,Delivery,48.12,No,40,Convenience,Locally Sourced,Medium,"The wait was a bit long, but the food made up for it."
45,Medium,Family with Kids,10,Late-night,Dine-in,50.26,Yes,3,Taste,Experimental,High,"Affordable, delicious, and a true neighborhood gem."
44,High,Couple,4,Late-night,Takeout,21.44,Yes,28,Taste,Locally Sourced,Medium,I loved the cozy atmosphere and the fresh ingredients.
24,Medium,Multigenerational,8,Late-night,Delivery,42.53,No,23,Convenience,Experimental,Low,Great experience! Will definitely be coming back soon.
64,Low,Couple,3,Dinner,Dine-in,30.71,No,37,Convenience,Locally Sourced,Low,"Not my usual spot, but I was pleasantly surprised."
59,Medium,Multigenerational,4,Late-night,Takeout,39.47,No,16,Taste,Healthy,Low,I loved the cozy atmosphere and the fresh ingredients.
29,High,Multigenerational,10,Lunch,Dine-in,12.39,Yes,3,Social Aspect,Experimental,High,I loved the cozy atmosphere and the fresh ingredients.
68,Medium,Single,0,Lunch,Takeout,6.52,No,12,Taste,Experimental,High,The portions were generous and the flavors authentic.
53,High,Multigenerational,9,Breakfast,Dine-in,33.32,Yes,28,Taste,Comfort Food,High,Tried something new and absolutely loved it.
42,High,Couple,7,Dinner,Dine-in,50.2,Yes,27,Tradition,Comfort Food,High,I loved the cozy atmosphere and the fresh ingredients.
62,Medium,Single,0,Dinner,Takeout,38.15,Yes,1,Convenience,Experimental,Medium,The portions were generous and the flavors authentic.
41,Medium,Single,6,Lunch,Delivery,30.87,Yes,20,Taste,Locally Sourced,High,"Affordable, delicious, and a true neighborhood gem."
60,Low,Couple,9,Breakfast,Dine-in,6.14,No,23,Taste,Healthy,High,"Not my usual spot, but I was pleasantly surprised."
70,High,Multigenerational,12,Late-night,Dine-in,26.87,Yes,6,Tradition,Locally Sourced,High,I loved the cozy atmosphere and the fresh ingredients.
24,High,Couple,1,Breakfast,Takeout,57.55,Yes,0,Tradition,Experimental,Low,The service was friendly and the food felt homemade.
36,Medium,Family with Kids,8,Breakfast,Delivery,9.44,No,33,Taste,Experimental,Medium,"Affordable, delicious, and a true neighborhood gem."
55,Medium,Single,1,Lunch,Delivery,58.54,No,38,Tradition,Locally Sourced,High,"Affordable, delicious, and a true neighborhood gem."
38,Medium,Family with Kids,4,Lunch,Dine-in,18.63,No,5,Convenience,Locally Sourced,Medium,"Affordable, delicious, and a true neighborhood gem."
28,Low,Multigenerational,0,Late-night,Dine-in,30.07,No,8,Tradition,Locally Sourced,Medium,I loved the cozy atmosphere and the fresh ingredients.
30,Medium,Multigenerational,2,Lunch,Takeout,22.48,No,8,Tradition,Comfort Food,High,The service was friendly and the food felt homemade.
28,Medium,Multigenerational,12,Late-night,Takeout,25.83,No,36,Social Aspect,Healthy,Low,Great experience! Will definitely be coming back soon.
69,High,Single,9,Breakfast,Takeout,47.91,Yes,8,Taste,Healthy,Low,The service was friendly and the food felt homemade.
30,Medium,Family with Kids,6,Lunch,Dine-in,16.31,No,10,Convenience,Locally Sourced,High,"The wait was a bit long, but the food made up for it."
38,Medium,Couple,11,Dinner,Dine-in,21.87,No,29,Tradition,Experimental,Low,A perfect spot for a quiet meal and good conversation.
45,Low,Multigenerational,1,Dinner,Delivery,37.09,Yes,37,Taste,Comfort Food,Low,The service was friendly and the food felt homemade.
31,Medium,Family with Kids,1,Lunch,Takeout,56.14,Yes,17,Taste,Locally Sourced,Medium,Tried something new and absolutely loved it.
62,Medium,Family with Kids,10,Breakfast,Delivery,49.81,No,8,Tradition,Healthy,High,Felt like I was eating at a friend's house. So comforting.
45,Medium,Couple,11,Dinner,Dine-in,53.98,Yes,2,Convenience,Healthy,High,Felt like I was eating at a friend's house. So comforting.
49,Medium,Multigenerational,9,Dinner,Delivery,36.99,No,35,Taste,Experimental,Medium,Felt like I was eating at a friend's house. So comforting.
47,Low,Couple,10,Breakfast,Takeout,43.86,No,21,Convenience,Comfort Food,Low,A perfect spot for a quiet meal and good conversation.
47,High,Family with Kids,6,Lunch,Dine-in,29.42,Yes,12,Tradition,Comfort Food,Low,"Not my usual spot, but I was pleasantly surprised."
49,High,Family with Kids,4,Lunch,Delivery,40.93,Yes,26,Tradition,Experimental,Medium,The portions were generous and the flavors authentic.
39,High,Single,9,Dinner,Delivery,16.26,Yes,3,Tradition,Healthy,Medium,A perfect spot for a quiet meal and good conversation.
57,Low,Multigenerational,6,Late-night,Takeout,56.28,Yes,1,Taste,Healthy,Medium,Great experience! Will definitely be coming back soon.
61,High,Couple,1,Lunch,Dine-in,17.82,No,18,Taste,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
65,Medium,Couple,5,Lunch,Takeout,22.0,Yes,34,Taste,Comfort Food,Low,The portions were generous and the flavors authentic.
64,Medium,Multigenerational,5,Lunch,Delivery,10.46,No,19,Taste,Locally Sourced,Low,I loved the cozy atmosphere and the fresh ingredients.
51,High,Couple,9,Dinner,Delivery,11.17,No,36,Convenience,Comfort Food,Medium,Great experience! Will definitely be coming back soon.
49,Medium,Couple,9,Late-night,Takeout,26.41,Yes,33,Tradition,Locally Sourced,Medium,A perfect spot for a quiet meal and good conversation.
63,High,Couple,12,Late-night,Dine-in,29.85,Yes,40,Tradition,Healthy,Low,Felt like I was eating at a friend's house. So comforting.
52,Low,Single,10,Dinner,Delivery,48.96,Yes,39,Social Aspect,Locally Sourced,Medium,Great experience! Will definitely be coming back soon.
69,Low,Couple,1,Dinner,Dine-in,52.57,No,26,Convenience,Experimental,High,Tried something new and absolutely loved it.
49,Medium,Multigenerational,9,Lunch,Takeout,20.85,Yes,34,Social Aspect,Locally Sourced,High,"Not my usual spot, but I was pleasantly surprised."
32,High,Single,3,Breakfast,Delivery,37.72,No,29,Tradition,Locally Sourced,High,I loved the cozy atmosphere and the fresh ingredients.
61,Low,Single,4,Lunch,Takeout,33.99,Yes,5,Taste,Healthy,High,"The wait was a bit long, but the food made up for it."
55,High,Couple,13,Breakfast,Delivery,25.34,No,32,Taste,Experimental,Low,A perfect spot for a quiet meal and good conversation.
54,Medium,Multigenerational,13,Dinner,Takeout,28.22,No,33,Taste,Experimental,High,Great experience! Will definitely be coming back soon.
60,High,Multigenerational,13,Late-night,Takeout,14.48,Yes,40,Convenience,Comfort Food,Low,"Affordable, delicious, and a true neighborhood gem."
22,Medium,Family with Kids,1,Lunch,Delivery,55.5,Yes,27,Social Aspect,Locally Sourced,Low,"The wait was a bit long, but the food made up for it."
28,Medium,Multigenerational,6,Late-night,Takeout,13.24,No,21,Convenience,Experimental,High,"Not my usual spot, but I was pleasantly surprised."
37,Medium,Single,5,Lunch,Dine-in,29.66,Yes,19,Social Aspect,Experimental,Medium,Tried something new and absolutely loved it.
30,Low,Couple,5,Dinner,Delivery,24.53,No,11,Tradition,Healthy,Low,"Not my usual spot, but I was pleasantly surprised."
52,High,Single,1,Lunch,Delivery,20.44,No,7,Taste,Healthy,Medium,Great experience! Will definitely be coming back soon.
33,High,Family with Kids,3,Dinner,Delivery,38.85,No,22,Tradition,Comfort Food,High,Tried something new and absolutely loved it.
33,Medium,Single,10,Breakfast,Dine-in,58.26,No,18,Convenience,Locally Sourced,Low,Felt like I was eating at a friend's house. So comforting.
63,Low,Couple,9,Dinner,Takeout,49.0,No,25,Social Aspect,Comfort Food,Low,Felt like I was eating at a friend's house. So comforting.
51,Medium,Multigenerational,2,Dinner,Delivery,33.05,Yes,3,Social Aspect,Healthy,High,Felt like I was eating at a friend's house. So comforting.
61,Medium,Family with Kids,4,Breakfast,Dine-in,56.41,No,24,Social Aspect,Locally Sourced,Low,Tried something new and absolutely loved it.
64,Medium,Multigenerational,8,Breakfast,Dine-in,18.9,Yes,4,Convenience,Experimental,High,The portions were generous and the flavors authentic.
32,High,Couple,2,Late-night,Takeout,25.65,Yes,31,Social Aspect,Experimental,High,The portions were generous and the flavors authentic.
39,Low,Couple,7,Late-night,Delivery,44.67,Yes,30,Taste,Experimental,Low,The service was friendly and the food felt homemade.
58,Low,Single,11,Late-night,Dine-in,40.44,No,33,Taste,Comfort Food,Medium,The portions were generous and the flavors authentic.
18,Medium,Multigenerational,9,Breakfast,Takeout,52.34,Yes,32,Tradition,Locally Sourced,Low,"The wait was a bit long, but the food made up for it."
44,High,Single,9,Dinner,Dine-in,19.43,No,17,Convenience,Locally Sourced,Medium,A perfect spot for a quiet meal and good conversation.
58,Medium,Single,8,Breakfast,Takeout,18.73,Yes,24,Social Aspect,Comfort Food,High,Great experience! Will definitely be coming back soon.
53,Low,Multigenerational,7,Dinner,Takeout,56.89,Yes,40,Social Aspect,Healthy,High,I loved the cozy atmosphere and the fresh ingredients.
55,High,Single,13,Lunch,Takeout,17.08,No,35,Tradition,Experimental,High,The service was friendly and the food felt homemade.
21,Low,Family with Kids,2,Dinner,Delivery,38.73,No,33,Convenience,Experimental,Low,"Affordable, delicious, and a true neighborhood gem."
60,Medium,Single,12,Dinner,Takeout,32.5,No,14,Taste,Comfort Food,Medium,"Not my usual spot, but I was pleasantly surprised."
51,Low,Single,0,Lunch,Delivery,32.83,No,5,Tradition,Locally Sourced,Low,"The wait was a bit long, but the food made up for it."
20,High,Family with Kids,4,Breakfast,Takeout,50.87,Yes,13,Convenience,Healthy,High,"Affordable, delicious, and a true neighborhood gem."
40,Medium,Couple,0,Late-night,Delivery,12.28,Yes,26,Taste,Locally Sourced,Low,I loved the cozy atmosphere and the fresh ingredients.
36,Low,Family with Kids,5,Lunch,Dine-in,23.35,No,11,Tradition,Comfort Food,Low,The service was friendly and the food felt homemade.
31,Medium,Couple,12,Dinner,Delivery,49.0,No,26,Social Aspect,Comfort Food,Medium,"Affordable, delicious, and a true neighborhood gem."
31,Medium,Single,12,Dinner,Dine-in,39.39,Yes,28,Convenience,Comfort Food,Medium,"The wait was a bit long, but the food made up for it."
61,High,Family with Kids,1,Dinner,Takeout,47.72,Yes,1,Social Aspect,Locally Sourced,Medium,A perfect spot for a quiet meal and good conversation.
56,Medium,Couple,0,Late-night,Delivery,38.47,No,0,Tradition,Locally Sourced,Low,"Not my usual spot, but I was pleasantly surprised."
33,Medium,Couple,5,Dinner,Delivery,47.68,Yes,13,Tradition,Locally Sourced,Low,"The wait was a bit long, but the food made up for it."
62,High,Family with Kids,8,Breakfast,Takeout,44.77,Yes,1,Social Aspect,Locally Sourced,High,Tried something new and absolutely loved it.
40,Low,Family with Kids,6,Breakfast,Delivery,45.75,No,29,Taste,Locally Sourced,High,Tried something new and absolutely loved it.
62,Low,Family with Kids,8,Breakfast,Dine-in,55.53,No,1,Social Aspect,Comfort Food,Medium,I loved the cozy atmosphere and the fresh ingredients.
39,Low,Family with Kids,9,Dinner,Takeout,56.18,No,37,Taste,Locally Sourced,Low,Great experience! Will definitely be coming back soon.
38,Low,Family with Kids,13,Breakfast,Dine-in,14.73,No,11,Convenience,Experimental,Medium,Tried something new and absolutely loved it.
29,Medium,Couple,7,Dinner,Dine-in,46.34,Yes,9,Taste,Locally Sourced,Low,Tried something new and absolutely loved it.
66,Low,Single,9,Dinner,Delivery,55.19,No,23,Taste,Healthy,Medium,The service was friendly and the food felt homemade.
42,Low,Couple,10,Lunch,Takeout,51.88,Yes,12,Tradition,Comfort Food,High,The service was friendly and the food felt homemade.
60,Low,Multigenerational,9,Late-night,Delivery,55.79,Yes,7,Taste,Comfort Food,Low,Tried something new and absolutely loved it.
41,Medium,Family with Kids,5,Dinner,Delivery,29.56,No,29,Social Aspect,Experimental,Medium,I loved the cozy atmosphere and the fresh ingredients.
45,High,Couple,4,Breakfast,Takeout,49.25,Yes,14,Convenience,Experimental,Medium,"Not my usual spot, but I was pleasantly surprised."
25,High,Family with Kids,9,Dinner,Takeout,21.28,Yes,3,Social Aspect,Healthy,Low,A perfect spot for a quiet meal and good conversation.
18,High,Multigenerational,2,Lunch,Takeout,51.55,No,8,Taste,Experimental,High,A perfect spot for a quiet meal and good conversation.
58,High,Family with Kids,2,Late-night,Delivery,43.72,No,23,Convenience,Healthy,Medium,"The wait was a bit long, but the food made up for it."
26,Medium,Single,2,Breakfast,Delivery,32.25,Yes,1,Tradition,Experimental,Medium,"The wait was a bit long, but the food made up for it."
54,High,Single,7,Late-night,Dine-in,54.35,No,2,Taste,Comfort Food,Medium,I loved the cozy atmosphere and the fresh ingredients.
65,Low,Family with Kids,7,Lunch,Delivery,18.64,No,18,Convenience,Experimental,Low,The service was friendly and the food felt homemade.
59,Low,Family with Kids,5,Lunch,Takeout,30.26,Yes,19,Tradition,Experimental,Low,I loved the cozy atmosphere and the fresh ingredients.
20,High,Couple,4,Lunch,Delivery,17.51,Yes,28,Taste,Comfort Food,Low,I loved the cozy atmosphere and the fresh ingredients.
35,Medium,Couple,8,Lunch,Delivery,21.9,No,0,Convenience,Experimental,Low,"The wait was a bit long, but the food made up for it."
58,High,Single,4,Lunch,Dine-in,29.86,Yes,19,Social Aspect,Experimental,High,The portions were generous and the flavors authentic.
42,Low,Multigenerational,10,Breakfast,Dine-in,7.48,Yes,9,Tradition,Locally Sourced,Medium,The service was friendly and the food felt homemade.
30,Low,Single,6,Dinner,Delivery,8.7,Yes,39,Tradition,Healthy,Low,Tried something new and absolutely loved it.
51,Medium,Single,2,Lunch,Delivery,33.05,Yes,36,Taste,Healthy,Medium,Tried something new and absolutely loved it.
35,Medium,Family with Kids,3,Dinner,Dine-in,5.09,No,23,Tradition,Healthy,Medium,A perfect spot for a quiet meal and good conversation.
44,High,Couple,12,Breakfast,Delivery,21.59,No,0,Social Aspect,Locally Sourced,High,A perfect spot for a quiet meal and good conversation.
41,Medium,Single,8,Breakfast,Dine-in,34.29,Yes,24,Taste,Comfort Food,High,"Not my usual spot, but I was pleasantly surprised."
36,High,Multigenerational,9,Dinner,Dine-in,29.53,Yes,38,Convenience,Comfort Food,High,Great experience! Will definitely be coming back soon.
22,High,Couple,11,Breakfast,Dine-in,11.38,No,32,Convenience,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
46,High,Family with Kids,11,Breakfast,Delivery,20.02,Yes,2,Convenience,Experimental,High,The portions were generous and the flavors authentic.
30,High,Couple,0,Dinner,Dine-in,59.33,No,6,Convenience,Locally Sourced,High,"The wait was a bit long, but the food made up for it."
49,Low,Couple,6,Late-night,Takeout,22.03,No,25,Convenience,Experimental,High,"Affordable, delicious, and a true neighborhood gem."
31,Low,Multigenerational,0,Breakfast,Dine-in,5.22,No,10,Taste,Locally Sourced,High,"Not my usual spot, but I was pleasantly surprised."
64,High,Couple,12,Late-night,Takeout,14.57,No,11,Tradition,Healthy,Low,"Not my usual spot, but I was pleasantly surprised."
46,High,Multigenerational,5,Lunch,Dine-in,6.08,Yes,26,Tradition,Experimental,Medium,Felt like I was eating at a friend's house. So comforting.
59,Medium,Couple,11,Late-night,Takeout,17.84,No,14,Social Aspect,Comfort Food,Low,I loved the cozy atmosphere and the fresh ingredients.
40,Low,Couple,4,Late-night,Takeout,7.84,No,34,Convenience,Locally Sourced,Low,A perfect spot for a quiet meal and good conversation.
25,Low,Family with Kids,9,Breakfast,Delivery,48.17,No,11,Convenience,Healthy,Low,"Affordable, delicious, and a true neighborhood gem."
59,Low,Single,8,Late-night,Delivery,26.25,Yes,20,Social Aspect,Locally Sourced,Low,"Not my usual spot, but I was pleasantly surprised."
19,Low,Single,6,Lunch,Dine-in,55.82,Yes,32,Tradition,Experimental,Low,Tried something new and absolutely loved it.
41,High,Couple,8,Breakfast,Delivery,50.53,Yes,20,Tradition,Experimental,High,Great experience! Will definitely be coming back soon.
58,High,Single,13,Dinner,Delivery,8.02,Yes,0,Tradition,Healthy,Medium,Tried something new and absolutely loved it.
41,Low,Single,11,Dinner,Delivery,49.52,No,1,Social Aspect,Locally Sourced,Medium,A perfect spot for a quiet meal and good conversation.
53,Medium,Couple,12,Breakfast,Dine-in,27.82,Yes,32,Tradition,Comfort Food,High,Felt like I was eating at a friend's house. So comforting.
67,Low,Family with Kids,13,Breakfast,Delivery,44.48,No,26,Convenience,Locally Sourced,Medium,Great experience! Will definitely be coming back soon.
43,High,Single,12,Dinner,Delivery,27.35,Yes,31,Taste,Locally Sourced,Low,"Not my usual spot, but I was pleasantly surprised."
64,Low,Family with Kids,13,Lunch,Dine-in,43.61,No,19,Tradition,Healthy,High,Tried something new and absolutely loved it.
68,Medium,Single,12,Dinner,Delivery,28.81,No,1,Social Aspect,Healthy,High,The service was friendly and the food felt homemade.
28,Low,Single,0,Late-night,Dine-in,9.38,No,19,Taste,Locally Sourced,Low,The service was friendly and the food felt homemade.
39,Medium,Couple,13,Breakfast,Takeout,59.44,Yes,3,Convenience,Locally Sourced,Low,Tried something new and absolutely loved it.
19,Low,Family with Kids,7,Lunch,Delivery,21.21,No,0,Convenience,Comfort Food,Low,"Affordable, delicious, and a true neighborhood gem."
63,Low,Single,10,Lunch,Takeout,24.17,Yes,23,Tradition,Healthy,Medium,"Affordable, delicious, and a true neighborhood gem."
61,Medium,Couple,12,Late-night,Takeout,52.62,Yes,24,Social Aspect,Experimental,Medium,A perfect spot for a quiet meal and good conversation.
64,Medium,Multigenerational,13,Breakfast,Dine-in,34.55,No,33,Taste,Experimental,Medium,The service was friendly and the food felt homemade.
42,High,Couple,2,Breakfast,Dine-in,28.06,Yes,38,Social Aspect,Healthy,Medium,Tried something new and absolutely loved it.
30,Low,Single,13,Dinner,Dine-in,32.32,Yes,31,Convenience,Experimental,Low,"Not my usual spot, but I was pleasantly surprised."
66,Medium,Single,6,Late-night,Takeout,11.95,Yes,0,Taste,Healthy,Low,I loved the cozy atmosphere and the fresh ingredients.
55,Low,Couple,10,Lunch,Delivery,22.2,Yes,18,Convenience,Experimental,High,Tried something new and absolutely loved it.
54,High,Single,3,Breakfast,Takeout,55.91,Yes,17,Convenience,Comfort Food,Medium,The portions were generous and the flavors authentic.
42,High,Single,4,Late-night,Dine-in,52.13,Yes,38,Convenience,Healthy,Low,Great experience! Will definitely be coming back soon.
64,Low,Single,6,Lunch,Delivery,25.02,No,2,Tradition,Locally Sourced,Low,The portions were generous and the flavors authentic.
47,High,Multigenerational,12,Lunch,Takeout,43.65,Yes,34,Tradition,Comfort Food,Low,The portions were generous and the flavors authentic.
30,Medium,Single,3,Dinner,Takeout,17.77,Yes,1,Social Aspect,Comfort Food,Low,I loved the cozy atmosphere and the fresh ingredients.
67,High,Family with Kids,9,Late-night,Takeout,12.54,No,40,Taste,Comfort Food,Low,Great experience! Will definitely be coming back soon.
47,Medium,Single,0,Late-night,Delivery,42.65,Yes,9,Tradition,Locally Sourced,High,Felt like I was eating at a friend's house. So comforting.
19,Low,Multigenerational,4,Breakfast,Delivery,16.96,No,40,Taste,Experimental,Medium,The portions were generous and the flavors authentic.
62,Low,Single,3,Dinner,Dine-in,51.24,No,0,Social Aspect,Comfort Food,Medium,Felt like I was eating at a friend's house. So comforting.
22,Medium,Multigenerational,7,Lunch,Dine-in,16.98,No,26,Convenience,Experimental,Medium,The service was friendly and the food felt homemade.
56,Low,Couple,11,Late-night,Dine-in,26.88,No,24,Social Aspect,Comfort Food,Medium,Tried something new and absolutely loved it.
35,High,Multigenerational,3,Dinner,Takeout,47.36,Yes,27,Convenience,Comfort Food,Medium,Tried something new and absolutely loved it.
45,Low,Family with Kids,3,Lunch,Delivery,26.13,No,38,Taste,Healthy,High,Great experience! Will definitely be coming back soon.
55,Medium,Multigenerational,6,Breakfast,Delivery,49.95,No,29,Taste,Comfort Food,Low,The service was friendly and the food felt homemade.
52,Medium,Family with Kids,1,Lunch,Dine-in,32.34,Yes,9,Convenience,Healthy,Low,Felt like I was eating at a friend's house. So comforting.
65,High,Single,1,Dinner,Dine-in,55.69,No,2,Tradition,Experimental,Low,A perfect spot for a quiet meal and good conversation.
32,Low,Multigenerational,11,Breakfast,Takeout,13.63,No,4,Taste,Healthy,High,The portions were generous and the flavors authentic.
45,Medium,Family with Kids,3,Lunch,Dine-in,33.04,Yes,14,Social Aspect,Locally Sourced,High,"Affordable, delicious, and a true neighborhood gem."
60,Medium,Multigenerational,10,Breakfast,Takeout,41.26,Yes,6,Convenience,Locally Sourced,Low,The portions were generous and the flavors authentic.
21,High,Family with Kids,8,Breakfast,Dine-in,44.31,Yes,23,Social Aspect,Locally Sourced,High,A perfect spot for a quiet meal and good conversation.
49,Medium,Family with Kids,9,Dinner,Dine-in,25.12,Yes,6,Taste,Healthy,High,Great experience! Will definitely be coming back soon.
47,High,Family with Kids,4,Late-night,Takeout,15.98,No,18,Social Aspect,Comfort Food,Low,The service was friendly and the food felt homemade.
